two_theta_deg,intensity_counts
5.7457094499999997,880
5.7484260599999999,814
5.7511426700000001,861
5.7538592799999995,845
5.7565758899999997,836
5.7592924999999999,831
5.7620091099999993,845
5.7647257199999995,893
5.7674423299999997,849
5.77015894,886
5.7728755499999993,851
5.7755921599999995,805
5.7783087699999998,827
5.78102538,877
5.7837419899999993,840
5.7864585999999996,860
5.7891752099999998,807
5.79189182,841
5.7946084299999994,875
5.7973250399999996,792
5.8000416499999998,785
5.8027582599999992,851
5.8054748699999994,816
5.8081914799999996,821
5.8109080899999999,811
5.8136247000000001,845
5.8163413099999994,858
5.8190579199999997,815
5.8217745299999999,859
5.8244911399999992,841
5.8272077499999995,863
5.8299243599999997,822
5.8326409699999999,817
5.8353575799999993,807
5.8380741899999995,829
5.8407907999999997,827
5.84350741,840
5.8462240199999993,841
5.8489406299999995,813
5.8516572399999998,810
5.85437385,828
5.8570904599999993,841
5.8598070699999996,834
5.8625236799999998,878
5.8652402899999991,807
5.8679568999999994,825
5.8706735099999996,759
5.8733901199999998,811
5.8761067300000001,839
5.8788233399999994,809
5.8815399499999996,849
5.8842565599999999,824
5.8869731699999992,839
5.8896897799999994,788
5.8924063899999997,849
5.8951229999999999,841
5.8978396100000001,779
5.9005562199999995,838
5.9032728299999997,794
5.9059894399999999,813
5.9087060499999993,832
5.9114226599999995,778
5.9141392699999997,804
5.91685588,800
5.9195724899999993,819
5.9222890999999995,857
5.9250057099999998,849
5.92772232,816
5.9304389299999993,789
5.9331555399999996,845
5.9358721499999998,790
5.93858876,816
5.9413053699999994,795
5.9440219799999996,826
5.9467385899999998,828
5.9494551999999992,804
5.9521718099999994,895
5.9548884199999996,809
5.9576050299999999,829
5.9603216400000001,801
5.9630382499999994,814
5.9657548599999997,836
5.9684714699999999,816
5.9711880799999992,784
5.9739046899999995,770
5.9766212999999997,819
5.9793379099999999,766
5.9820545199999993,808
5.9847711299999995,773
5.9874877399999997,873
5.99020435,786
5.9929209599999993,782
5.9956375699999995,769
5.9983541799999998,799
6.00107079,769
6.0037873999999993,765
6.0065040099999996,753
6.0092206199999998,805
6.0119372299999991,705
6.0146538399999994,804
6.0173704499999996,799
6.0200870599999998,804
6.0228036700000001,854
6.0255202799999994,746
6.0282368899999996,778
6.0309534999999999,790
6.0336701099999992,831
6.0363867199999994,761
6.0391033299999997,780
6.0418199399999999,820
6.0445365500000001,754
6.0472531599999995,803
6.0499697699999997,819
6.0526863799999999,761
6.0554029899999993,792
6.0581195999999995,826
6.0608362099999997,773
6.06355282,805
6.0662694299999993,835
6.0689860399999995,843
6.0717026499999998,802
6.0744192599999991,767
6.0771358699999993,788
6.0798524799999996,745
6.0825690899999998,760
6.0852857,735
6.0880023099999994,784
6.0907189199999996,761
6.0934355299999998,781
6.0961521399999992,817
6.0988687499999994,754
6.1015853599999996,746
6.1043019699999999,817
6.1070185800000001,727
6.1097351899999994,746
6.1124517999999997,788
6.1151684099999999,747
6.1178850199999992,775
6.1206016299999995,806
6.1233182399999997,756
6.1260348499999999,768
6.1287514600000002,776
6.1314680699999995,696
6.1341846799999997,815
6.1369012899999991,824
6.1396178999999993,779
6.1423345099999995,806
6.1450511199999998,790
6.14776773,801
6.1504843399999993,823
6.1532009499999996,750
6.1559175599999998,799
6.1586341699999991,808
6.1613507799999994,759
6.1640673899999996,771
6.1667839999999998,816
6.1695006100000001,821
6.1722172199999994,750
6.1749338299999996,801
6.1776504399999999,829
6.1803670499999992,767
6.1830836599999994,742
6.1858002699999997,821
6.1885168799999999,813
6.1912334900000001,803
6.1939500999999995,807
6.1966667099999997,772
6.1993833199999999,773
